Week Ending,Provider State,Newcases
03/14/21,DE,14.0
03/14/21,FL,167.0
03/14/21,GA,63.0
03/14/21,GU,0.0
03/14/21,HI,0.0
03/14/21,IA,26.0
03/14/21,ID,3.0
03/14/21,IL,89.0
03/14/21,IN,14.0
03/14/21,KS,27.0
03/14/21,KY,31.0
03/14/21,LA,22.0
03/14/21,MA,119.0
03/14/21,MD,43.0
03/14/21,ME,10.0
03/14/21,MI,40.0
03/14/21,MN,27.0
03/14/21,MO,33.0
03/14/21,MS,20.0
03/14/21,MT,9.0
03/14/21,NC,73.0
03/14/21,ND,8.0
03/14/21,NE,23.0
03/14/21,NH,5.0
03/14/21,NJ,222.0
03/14/21,NM,15.0
03/14/21,NV,12.0
03/14/21,NY,266.0
03/14/21,OH,89.0
03/14/21,OK,43.0
03/14/21,OR,23.0
03/14/21,PA,136.0
03/14/21,PR,0.0
03/14/21,RI,21.0
03/14/21,SC,23.0
03/14/21,SD,7.0
03/14/21,TN,40.0
03/14/21,TX,232.0
03/14/21,UT,22.0
03/14/21,VA,32.0
03/14/21,VT,2.0
03/14/21,WA,58.0
03/14/21,WI,31.0
03/14/21,WV,5.0
03/14/21,WY,6.0
03/21/21,AK,1.0
03/21/21,AL,14.0
03/21/21,AR,21.0
03/21/21,AZ,45.0
03/21/21,CA,376.0
03/21/21,CO,15.0
03/21/21,CT,61.0
03/21/21,DC,7.0
03/21/21,DE,8.0
03/21/21,FL,146.0
03/21/21,GA,61.0
03/21/21,GU,0.0
03/21/21,HI,0.0
03/21/21,IA,64.0
03/21/21,ID,1.0
03/21/21,IL,74.0
03/21/21,IN,10.0
03/21/21,KS,26.0
03/21/21,KY,18.0
03/21/21,LA,12.0
03/21/21,MA,191.0
03/21/21,MD,22.0
03/21/21,ME,6.0
03/21/21,MI,40.0
03/21/21,MN,36.0
03/21/21,MO,43.0
03/21/21,MS,17.0
03/21/21,MT,6.0
03/21/21,NC,78.0
03/21/21,ND,1.0
03/21/21,NE,19.0
03/21/21,NH,3.0
03/21/21,NJ,268.0
03/21/21,NM,26.0
